Id,Nombre,Descripcion,Activo,FechaAlta,UsuarioAltaId
1,Familiar,Conflictos relacionados con el trabajo y empleos.,True,2025-12-19 11:21:54,
2,Familiar,Disputas entre consumidores y proveedores.,True,2026-04-22 18:30:49,239.0
3,Penal,Disputas entre consumidores y proveedores.,True,2026-01-16 03:58:45,829.0
4,Comercial,Disputas entre consumidores y proveedores.,False,2025-11-15 10:26:49,981.0
5,Familiar,Disputas entre miembros de la familia.,False,2025-10-26 15:13:08,353.0
6,Laboral,Problemas ambientales y ecológicos.,False,2025-08-07 14:36:38,81.0
7,Administrativo,Asuntos penales y delitos.,False,2025-05-13 16:33:20,234.0
8,Familiar,Asuntos penales y delitos.,False,2026-03-18 06:18:33,651.0
9,Comercial,Conflictos con entidades administrativas.,True,2025-11-08 11:53:45,719.0
10,Comercial,Asuntos penales y delitos.,True,2026-02-14 04:11:45,948.0
11,Administrativo,Conflictos relacionados con el trabajo y empleos.,False,2026-01-11 16:44:42,411.0
12,Familiar,Asuntos penales y delitos.,False,2025-07-21 20:15:49,672.0
13,Consumidor,Problemas ambientales y ecológicos.,False,2026-02-24 10:27:47,763.0
14,Consumidor,Disputas entre consumidores y proveedores.,True,2025-11-04 11:27:30,506.0
15,Laboral,Disputas entre miembros de la familia.,False,2026-02-18 22:25:12,697.0
16,Familiar,Disputas entre consumidores y proveedores.,True,2025-10-24 23:06:29,258.0
17,Familiar,Litigios civiles generales.,True,2025-06-14 08:28:44,446.0
18,Ambiental,Conflictos relacionados con el trabajo y empleos.,True,2025-12-25 01:47:51,520.0
19,Civil,Asuntos penales y delitos.,True,2026-02-19 06:47:52,553.0
20,Administrativo,Problemas ambientales y ecológicos.,False,2026-04-29 14:36:39,900.0
21,Penal,Conflictos relacionados con el trabajo y empleos.,False,2026-01-05 00:30:57,750.0
22,Familiar,Problemas en transacciones comerciales.,False,2026-03-03 21:05:27,170.0
23,Consumidor,Asuntos penales y delitos.,False,2025-08-04 18:51:50,731.0
24,Consumidor,Conflictos con entidades administrativas.,True,2025-09-26 02:07:55,254.0
25,Familiar,Conflictos con entidades administrativas.,True,2026-04-28 00:00:48,603.0
26,Laboral,Disputas entre miembros de la familia.,True,2025-05-10 22:32:48,70.0
27,Administrativo,Disputas entre miembros de la familia.,True,2025-08-18 11:18:20,498.0
28,Comercial,Problemas ambientales y ecológicos.,True,2026-01-04 02:44:36,195.0
29,Familiar,Disputas entre consumidores y proveedores.,True,2025-11-08 05:09:33,885.0
30,Familiar,Conflictos relacionados con el trabajo y empleos.,True,2025-10-13 19:14:11,883.0
31,Penal,Asuntos penales y delitos.,True,2026-01-31 01:07:54,433.0
32,Civil,Problemas ambientales y ecológicos.,True,2026-01-01 16:07:11,883.0
33,Laboral,Conflictos relacionados con el trabajo y empleos.,False,2026-03-22 11:25:36,498.0
34,Penal,Disputas entre consumidores y proveedores.,False,2026-04-08 13:12:02,400.0
35,Ambiental,Litigios civiles generales.,False,2025-10-03 19:49:12,570.0
36,Comercial,Asuntos penales y delitos.,True,2025-12-08 12:32:25,754.0
37,Administrativo,Conflictos relacionados con el trabajo y empleos.,True,2026-04-13 00:05:30,942.0
38,Laboral,Disputas entre miembros de la familia.,True,2026-02-02 15:57:58,692.0
39,Consumidor,Disputas entre miembros de la familia.,True,2025-07-21 10:58:24,41.0
40,Consumidor,Conflictos con entidades administrativas.,True,2025-12-26 11:53:17,322.0
41,Civil,Disputas entre consumidores y proveedores.,False,2026-03-01 20:54:43,469.0
42,Familiar,Conflictos relacionados con el trabajo y empleos.,True,2025-09-15 22:59:56,76.0
43,Civil,Problemas en transacciones comerciales.,False,2025-11-11 15:39:47,379.0
44,Comercial,Problemas ambientales y ecológicos.,True,2025-08-02 20:16:23,827.0
45,Civil,Disputas entre miembros de la familia.,True,2026-03-01 10:28:06,110.0
46,Civil,Litigios civiles generales.,False,2025-07-03 11:50:41,209.0
47,Ambiental,Litigios civiles generales.,False,2026-04-12 15:55:35,850.0
48,Laboral,Conflictos relacionados con el trabajo y empleos.,False,2025-11-19 13:55:46,166.0
49,Consumidor,Conflictos relacionados con el trabajo y empleos.,True,2026-03-12 15:39:18,926.0
50,Laboral,Conflictos con entidades administrativas.,True,2025-07-14 01:26:35,131.0
51,Civil,Conflictos con entidades administrativas.,True,2026-04-18 07:22:19,256.0
52,Administrativo,Disputas entre consumidores y proveedores.,True,2025-06-24 19:26:03,953.0
53,Comercial,Problemas en transacciones comerciales.,False,2025-10-09 18:24:15,947.0
54,Consumidor,Asuntos penales y delitos.,False,2025-12-23 12:45:18,111.0
55,Laboral,Problemas ambientales y ecológicos.,False,2026-01-15 11:43:04,472.0
56,Civil,Asuntos penales y delitos.,False,2026-01-14 17:53:50,409.0
57,Civil,Disputas entre miembros de la familia.,False,2025-12-17 06:54:30,410.0
58,Laboral,Disputas entre miembros de la familia.,True,2025-12-26 12:58:46,40.0
59,Consumidor,Conflictos con entidades administrativas.,False,2025-11-29 04:57:30,119.0
60,Penal,Litigios civiles generales.,True,2026-04-15 20:09:02,533.0
61,Administrativo,Disputas entre consumidores y proveedores.,False,2026-04-02 20:37:41,639.0
62,Familiar,Litigios civiles generales.,False,2025-08-22 08:53:36,335.0
63,Civil,Problemas en transacciones comerciales.,True,2026-01-30 04:53:38,694.0
64,Civil,Disputas entre consumidores y proveedores.,False,2025-08-01 18:16:44,216.0
65,Administrativo,Problemas ambientales y ecológicos.,False,2025-09-24 03:52:49,524.0
66,Comercial,Disputas entre miembros de la familia.,False,2025-12-14 01:53:22,635.0
67,Familiar,Asuntos penales y delitos.,True,2025-05-29 09:21:11,204.0
68,Laboral,Conflictos relacionados con el trabajo y empleos.,True,2026-01-03 02:56:08,787.0
69,Ambiental,Disputas entre consumidores y proveedores.,False,2025-06-20 00:23:17,714.0
70,Ambiental,Disputas entre consumidores y proveedores.,True,2026-01-04 13:54:18,6.0
71,Consumidor,Asuntos penales y delitos.,True,2026-02-06 20:02:33,52.0
72,Familiar,Problemas ambientales y ecológicos.,False,2026-03-01 03:53:29,573.0
73,Ambiental,Disputas entre consumidores y proveedores.,False,2025-08-01 03:38:52,762.0
74,Ambiental,Litigios civiles generales.,False,2026-01-01 22:18:13,797.0
75,Penal,Litigios civiles generales.,False,2025-09-25 15:50:44,241.0
76,Administrativo,Conflictos con entidades administrativas.,False,2025-08-05 16:27:53,237.0
77,Comercial,Asuntos penales y delitos.,False,2026-04-06 05:09:41,556.0
78,Consumidor,Conflictos relacionados con el trabajo y empleos.,True,2026-01-23 05:11:05,789.0
79,Consumidor,Problemas ambientales y ecológicos.,False,2026-05-05 07:16:14,400.0
80,Penal,Problemas ambientales y ecológicos.,False,2026-01-16 10:08:31,30.0
81,Administrativo,Disputas entre consumidores y proveedores.,True,2026-02-13 03:37:54,638.0
82,Consumidor,Conflictos relacionados con el trabajo y empleos.,False,2026-03-26 22:08:54,888.0
83,Comercial,Conflictos relacionados con el trabajo y empleos.,False,2025-12-26 06:15:49,466.0
84,Administrativo,Disputas entre consumidores y proveedores.,True,2025-12-17 05:19:09,61.0
85,Laboral,Conflictos con entidades administrativas.,True,2026-01-13 22:31:13,981.0
86,Laboral,Asuntos penales y delitos.,True,2026-01-26 17:56:53,245.0
87,Ambiental,Disputas entre miembros de la familia.,False,2025-07-24 12:06:18,263.0
88,Comercial,Disputas entre miembros de la familia.,False,2026-02-14 09:29:25,27.0
89,Consumidor,Disputas entre consumidores y proveedores.,True,2026-01-27 15:58:18,851.0
90,Familiar,Litigios civiles generales.,True,2025-05-22 22:44:55,816.0
91,Administrativo,Disputas entre consumidores y proveedores.,False,2025-06-04 07:31:30,664.0
92,Laboral,Disputas entre consumidores y proveedores.,False,2025-08-31 15:08:39,651.0
93,Comercial,Disputas entre consumidores y proveedores.,False,2026-02-06 19:02:21,277.0
94,Ambiental,Disputas entre consumidores y proveedores.,True,2025-07-09 10:15:08,252.0
95,Civil,Problemas ambientales y ecológicos.,False,2026-01-04 03:59:23,685.0
96,Administrativo,Conflictos relacionados con el trabajo y empleos.,False,2025-08-28 08:24:31,218.0
97,Civil,Conflictos con entidades administrativas.,True,2025-12-15 22:51:06,283.0
98,Penal,Disputas entre miembros de la familia.,True,2026-01-04 19:09:31,569.0
99,Ambiental,Problemas ambientales y ecológicos.,False,2025-09-21 18:30:44,227.0
100,Penal,Litigios civiles generales.,False,2025-06-03 00:12:32,567.0
101,Consumidor,Conflictos con entidades administrativas.,False,2025-11-08 20:06:45,314.0
102,Penal,Disputas entre miembros de la familia.,True,2026-01-30 08:28:15,549.0
103,Penal,Asuntos penales y delitos.,False,2025-09-03 09:49:25,779.0
104,Familiar,Asuntos penales y delitos.,True,2025-12-08 11:12:51,310.0
105,Comercial,Litigios civiles generales.,True,2026-04-15 17:00:44,715.0
106,Ambiental,Disputas entre miembros de la familia.,False,2026-05-02 00:17:32,491.0
107,Administrativo,Problemas en transacciones comerciales.,True,2026-04-12 09:40:32,117.0
108,Consumidor,Problemas ambientales y ecológicos.,True,2026-03-31 23:55:19,55.0
109,Comercial,Litigios civiles generales.,False,2026-03-26 11:28:27,783.0
110,Penal,Disputas entre consumidores y proveedores.,False,2025-09-20 04:16:07,603.0
111,Civil,Conflictos relacionados con el trabajo y empleos.,True,2025-06-29 19:29:14,213.0
112,Civil,Disputas entre miembros de la familia.,True,2026-02-17 11:24:27,77.0
113,Laboral,Disputas entre consumidores y proveedores.,True,2025-09-19 19:57:32,299.0
114,Penal,Litigios civiles generales.,True,2025-05-12 08:51:07,465.0
115,Penal,Litigios civiles generales.,True,2025-06-21 23:53:11,957.0
116,Consumidor,Disputas entre miembros de la familia.,False,2025-08-03 10:54:53,931.0
117,Comercial,Disputas entre miembros de la familia.,False,2026-04-08 12:45:43,610.0
118,Ambiental,Disputas entre miembros de la familia.,False,2025-09-10 20:16:18,413.0
119,Ambiental,Problemas ambientales y ecológicos.,False,2026-03-27 23:33:06,443.0
120,Civil,Conflictos relacionados con el trabajo y empleos.,True,2026-03-23 10:52:09,882.0
121,Civil,Conflictos relacionados con el trabajo y empleos.,False,2026-02-08 03:02:21,453.0
122,Comercial,Disputas entre consumidores y proveedores.,False,2025-06-17 03:30:32,357.0
123,Administrativo,Conflictos con entidades administrativas.,False,2025-05-30 14:41:52,338.0
124,Ambiental,Litigios civiles generales.,True,2025-06-03 05:43:14,564.0
125,Ambiental,Disputas entre miembros de la familia.,False,2025-11-28 10:15:55,994.0
126,Laboral,Problemas ambientales y ecológicos.,False,2025-10-09 17:23:29,371.0
127,Ambiental,Conflictos relacionados con el trabajo y empleos.,False,2026-01-24 10:00:54,950.0
128,Ambiental,Problemas ambientales y ecológicos.,True,2026-03-07 17:55:24,819.0
129,Comercial,Litigios civiles generales.,True,2025-07-30 18:00:36,96.0
130,Familiar,Problemas ambientales y ecológicos.,False,2026-03-08 21:42:53,511.0
131,Civil,Disputas entre consumidores y proveedores.,True,2025-09-03 03:20:33,565.0
132,Consumidor,Asuntos penales y delitos.,True,2025-07-06 01:48:06,140.0
133,Civil,Disputas entre consumidores y proveedores.,False,2025-11-15 02:18:10,3.0
134,Civil,Problemas ambientales y ecológicos.,False,2026-02-21 04:01:32,354.0
135,Consumidor,Problemas ambientales y ecológicos.,False,2025-11-25 11:51:47,586.0
136,Penal,Disputas entre consumidores y proveedores.,False,2026-04-16 07:48:32,723.0
137,Consumidor,Problemas en transacciones comerciales.,False,2025-08-28 17:27:30,989.0
138,Familiar,Problemas ambientales y ecológicos.,True,2026-03-18 01:37:33,16.0
139,Consumidor,Problemas en transacciones comerciales.,False,2026-03-31 02:45:46,347.0
140,Familiar,Conflictos con entidades administrativas.,False,2025-05-28 01:11:42,642.0
141,Laboral,Disputas entre miembros de la familia.,True,2026-01-07 21:52:04,295.0
142,Familiar,Disputas entre consumidores y proveedores.,False,2026-03-18 21:50:07,103.0
143,Comercial,Litigios civiles generales.,False,2026-04-24 17:15:12,58.0
144,Administrativo,Conflictos con entidades administrativas.,True,2025-09-30 14:20:29,422.0
145,Comercial,Problemas en transacciones comerciales.,True,2026-03-28 22:40:38,635.0
146,Ambiental,Problemas en transacciones comerciales.,False,2026-01-10 03:55:46,471.0
147,Laboral,Problemas ambientales y ecológicos.,False,2025-12-11 21:01:52,76.0
148,Administrativo,Litigios civiles generales.,False,2025-06-15 04:51:46,468.0
149,Penal,Disputas entre consumidores y proveedores.,False,2025-09-03 15:20:38,586.0
150,Civil,Litigios civiles generales.,True,2026-04-26 21:10:45,9.0
151,Ambiental,Litigios civiles generales.,True,2026-01-10 22:44:40,225.0
152,Civil,Problemas en transacciones comerciales.,True,2025-06-21 14:38:22,662.0
153,Civil,Problemas ambientales y ecológicos.,True,2026-04-21 00:12:16,135.0
154,Civil,Conflictos con entidades administrativas.,False,2025-10-08 13:23:54,806.0
155,Civil,Problemas en transacciones comerciales.,False,2025-12-28 02:44:44,765.0
156,Familiar,Problemas ambientales y ecológicos.,False,2026-03-31 13:47:48,881.0
157,Administrativo,Disputas entre miembros de la familia.,False,2025-10-18 18:19:28,127.0
158,Administrativo,Litigios civiles generales.,False,2025-07-13 05:43:22,963.0
159,Familiar,Asuntos penales y delitos.,False,2025-09-09 17:56:06,966.0
160,Penal,Disputas entre miembros de la familia.,False,2025-06-17 03:37:18,310.0
161,Familiar,Problemas en transacciones comerciales.,True,2026-04-15 17:16:31,119.0
162,Penal,Problemas en transacciones comerciales.,False,2025-10-22 04:12:20,973.0
163,Comercial,Disputas entre consumidores y proveedores.,False,2025-06-07 14:42:31,631.0
164,Civil,Conflictos relacionados con el trabajo y empleos.,True,2025-05-20 07:22:34,456.0
165,Administrativo,Disputas entre miembros de la familia.,False,2025-05-22 07:01:05,661.0
166,Laboral,Disputas entre consumidores y proveedores.,False,2025-12-18 12:28:08,844.0
167,Familiar,Asuntos penales y delitos.,False,2025-06-13 21:58:01,52.0
168,Penal,Problemas en transacciones comerciales.,True,2025-07-23 12:31:09,784.0
169,Penal,Asuntos penales y delitos.,True,2025-11-21 13:45:05,611.0
170,Civil,Problemas en transacciones comerciales.,True,2026-03-03 01:19:11,179.0
171,Laboral,Problemas en transacciones comerciales.,False,2026-05-01 06:45:12,244.0
172,Laboral,Problemas en transacciones comerciales.,True,2025-12-24 17:27:15,432.0
173,Familiar,Problemas ambientales y ecológicos.,False,2025-09-21 07:03:25,112.0
174,Penal,Conflictos relacionados con el trabajo y empleos.,True,2025-06-05 02:16:33,659.0
175,Laboral,Problemas ambientales y ecológicos.,False,2025-10-15 04:52:56,503.0
176,Familiar,Disputas entre miembros de la familia.,False,2025-11-24 23:26:58,130.0
177,Administrativo,Disputas entre consumidores y proveedores.,False,2025-07-07 02:17:33,518.0
178,Familiar,Disputas entre miembros de la familia.,True,2025-06-06 21:39:13,565.0
179,Consumidor,Problemas ambientales y ecológicos.,False,2026-01-12 05:14:10,465.0
180,Consumidor,Disputas entre miembros de la familia.,False,2025-11-29 05:15:20,262.0
181,Comercial,Problemas ambientales y ecológicos.,False,2026-04-04 15:42:57,96.0
182,Familiar,Conflictos con entidades administrativas.,False,2026-03-03 01:32:25,980.0
